announcement_date,effective_date,symbol,action,era,alpha,beta,sigma_e,car_eff_window,car_pre_drift,car_ann_day,car_post_short,car_post_medium,car_post_long,peak_var_ratio,ann_day_var_ratio,baseline_var_pct,corr_jump,corr_pre,corr_post,is_crisis,regime_label,era2,crisis,era2_x_crisis,inclusion,avol_ratio
2015-02-20,2015-03-27,DLF,Exclusion,Era1_2015-2017,-0.001301,1.9206,0.033605,-0.0016,-0.1654,0.0086,0.0483,0.1576,0.0708,1.334,1.228,2.918,0.1302,0.3844,0.5146,False,Calm,0,0,0,0,0.704
2015-02-20,2015-03-27,JINDALSTEL,Exclusion,Era1_2015-2017,-0.004147,1.8174,0.027547,0.0665,0.2777,0.0139,0.0155,-0.0781,0.0217,1.979,0.956,3.179,0.2081,0.2707,0.4788,False,Calm,0,0,0,0,9.925
2015-02-20,2015-03-27,IDEA,Inclusion,Era1_2015-2017,-0.001179,1.0216,0.020684,0.1486,-0.0182,0.0196,0.0093,0.1712,0.3128,1.4,1.252,3.193,0.2042,0.1668,0.371,False,Calm,0,0,0,1,0.934
2015-02-20,2015-03-27,YESBANK,Inclusion,Era1_2015-2017,0.001066,1.8131,0.018032,-0.0113,-0.0319,0.0239,-0.0098,0.0497,0.0746,1.164,1.164,2.607,0.0705,0.6449,0.7153,False,Calm,0,0,0,1,0.686
2015-08-12,2015-09-25,NMDC,Exclusion,Era1_2015-2017,-0.001776,0.7462,0.016262,-0.0898,-0.0151,-0.0452,-0.0159,0.1612,0.1365,1.929,1.339,2.318,0.0814,0.4438,0.5252,False,Calm,0,0,0,0,2.432
2015-08-12,2015-09-25,ADANIPORTS,Inclusion,Era1_2015-2017,0.000519,1.4004,0.019149,-0.0724,0.0319,0.0253,0.0663,0.0573,-0.0172,2.058,0.925,2.474,-0.2264,0.7338,0.5074,False,Calm,0,0,0,1,0.0
2016-02-22,2016-03-25,EICHERMOT,Inclusion,Era1_2015-2017,0.001408,1.2251,0.019362,0.0465,0.0599,0.0345,0.0101,-0.1615,-0.1272,0.909,0.441,3.915,-0.0978,0.5128,0.415,False,Calm,0,0,0,1,0.409
2016-02-22,2016-03-25,AUROPHARMA,Inclusion,Era1_2015-2017,0.002166,1.3411,0.020331,-0.0116,-0.1149,0.0118,0.0229,-0.0085,-0.0581,1.448,1.448,4.807,-0.3079,0.6133,0.3054,False,Calm,0,0,0,1,0.819
2016-02-22,2016-03-25,PNB,Exclusion,Era1_2015-2017,-0.001931,1.3772,0.019638,0.0127,-0.1366,-0.0225,0.0081,0.0952,0.1425,1.144,1.144,6.159,-0.3878,0.691,0.3032,False,Calm,0,0,0,0,0.735
2016-02-22,2016-03-25,VEDL,Exclusion,Era1_2015-2017,-0.002152,1.9177,0.028186,-0.0271,0.1239,0.0096,0.0088,0.1686,0.2654,0.926,0.926,7.975,-0.1679,0.7531,0.5852,False,Calm,0,0,0,0,0.509
2017-02-16,2017-03-31,BHEL,Exclusion,Era1_2015-2017,-0.000866,1.4743,0.022117,0.0319,0.0992,-0.0064,-0.0154,0.0776,0.1198,1.914,1.914,1.344,0.0763,0.2737,0.35,False,Calm,0,0,0,0,0.687
2017-02-16,2017-03-31,IDEA,Exclusion,Era1_2015-2017,7.1e-05,0.6985,0.029513,-0.0114,-0.0007,-0.0208,0.115,-0.0902,-0.2118,1.407,0.764,3.24,0.2234,-0.0229,0.2005,False,Calm,0,0,0,0,0.23
2017-02-16,2017-03-31,IBULHSGFIN,Inclusion,Era1_2015-2017,-0.000241,1.3293,0.017815,-0.0374,0.0767,0.0319,-0.0044,0.0827,0.0873,0.558,0.558,2.164,-0.1601,0.4261,0.266,False,Calm,0,0,0,1,0.445
2017-02-16,2017-03-31,IOC,Inclusion,Era1_2015-2017,0.002196,1.063,0.0167,0.083,-0.004,0.0268,-0.0231,-0.1152,0.0177,1.076,1.076,1.957,-0.5793,0.5941,0.0147,False,Calm,0,0,0,1,0.453
2017-08-28,2017-09-29,ACC,Exclusion,Era1_2015-2017,-0.000361,1.2654,0.012383,0.0466,-0.0105,0.0198,-0.0303,-0.0991,-0.0449,2.27,1.201,1.457,-0.0867,0.4477,0.361,False,Calm,0,0,0,0,0.982
2017-08-28,2017-09-29,BANKBARODA,Exclusion,Era1_2015-2017,-0.000546,1.4779,0.020785,-0.0204,-0.0668,-0.0092,-0.0388,0.0184,0.2872,1.41,1.41,2.968,-0.3127,0.6378,0.3251,False,Calm,0,0,0,0,1.002
2017-08-28,2017-09-29,TATAPOWER,Exclusion,Era1_2015-2017,-0.000121,0.9938,0.012581,0.0084,0.0416,-0.0216,0.0085,0.0596,0.026,1.479,1.341,1.658,0.1753,0.4213,0.5966,False,Calm,0,0,0,0,0.533
2017-08-28,2017-09-29,BAJFINANCE,Inclusion,Era1_2015-2017,0.001175,1.8587,0.018558,0.0228,0.0366,0.0178,-0.0112,-0.0205,-0.1583,1.449,1.449,2.557,-0.0911,0.4473,0.3562,False,Calm,0,0,0,1,1.081
2017-08-28,2017-09-29,HINDPETRO,Inclusion,Era1_2015-2017,0.001446,1.4993,0.01995,0.0287,0.0777,0.0079,-0.0025,-0.1282,-0.1336,1.157,1.157,3.494,-0.0731,0.3872,0.3142,False,Calm,0,0,0,1,0.789
2017-08-28,2017-09-29,UPL,Inclusion,Era1_2015-2017,0.000817,1.249,0.01495,-0.0029,0.0044,0.0145,-0.0458,-0.0933,-0.1423,2.228,2.228,1.713,-0.1949,0.5668,0.3719,False,Calm,0,0,0,1,0.636
2018-02-21,2018-03-30,TITAN,Inclusion,Era2_2018-2025,0.002334,1.3411,0.023686,-0.0278,0.0533,-0.0254,-0.0252,0.073,0.0496,0.957,0.957,2.663,-0.0394,0.4189,0.3794,False,Calm,1,0,0,1,0.876
2018-02-21,2018-03-30,GRASIM,Inclusion,Era2_2018-2025,0.000896,1.1925,0.015335,-0.0362,0.0464,-0.0117,0.0223,-0.0006,-0.0776,1.204,1.204,2.551,-0.0085,0.537,0.5285,False,Calm,1,0,0,1,0.503
2018-02-21,2018-03-30,BAJAJFINSV,Inclusion,Era2_2018-2025,0.000699,1.2889,0.015951,0.0414,0.0506,-0.0167,0.0043,0.0552,0.0185,1.002,1.002,1.64,0.1053,0.4236,0.5289,False,Calm,1,0,0,1,0.574
2018-02-21,2018-03-30,AUROPHARMA,Exclusion,Era2_2018-2025,-0.001074,1.1871,0.019095,0.0882,-0.0172,0.0207,0.0373,0.0012,0.1145,1.08,1.08,2.64,0.1414,0.2701,0.4115,False,Calm,1,0,0,0,1.837
2018-02-21,2018-03-30,AMBUJACEM,Exclusion,Era2_2018-2025,-0.000147,0.8901,0.011789,0.0121,0.0472,-0.0276,-0.0256,-0.0895,-0.0363,1.336,1.091,2.38,0.0004,0.455,0.4554,False,Calm,1,0,0,0,2.66
2018-02-21,2018-03-30,BOSCHLTD,Exclusion,Era2_2018-2025,-0.001002,0.6878,0.012254,0.1367,0.0022,-0.0259,-0.0139,-0.0468,0.0711,1.313,1.309,1.477,-0.3103,0.4078,0.0975,False,Calm,1,0,0,0,0.844
2019-08-28,2019-09-27,IBULHSGFIN,Exclusion,Era2_2018-2025,-0.002647,2.4688,0.036845,-0.4129,-0.0117,-0.0073,0.0301,-0.2102,-0.7349,0.84,0.84,9.008,0.0509,0.391,0.4418,False,Calm,1,0,0,0,0.935
2019-08-28,2019-09-27,NESTLEIND,Inclusion,Era2_2018-2025,0.000963,0.6404,0.014654,0.0321,0.0309,0.0267,-0.006,0.0293,0.0749,1.186,0.783,1.413,-0.0467,0.4788,0.4322,False,Calm,1,0,0,1,1.576
2020-02-18,2020-03-27,YESBANK,Exclusion,Era2_2018-2025,-0.005551,1.9022,0.059041,-0.5273,0.0408,-0.051,0.1289,1.8442,1.1844,2.295,0.875,6.613,0.1393,-0.0951,0.0442,True,COVID,1,1,1,0,1.404
2020-02-18,2020-03-27,SHREECEM,Inclusion,Era2_2018-2025,0.001313,1.056,0.013013,-0.161,-0.0098,0.0117,-0.0056,0.0603,-0.0028,5.088,1.148,1.462,-0.2004,0.8374,0.637,True,COVID,1,1,1,1,1.196
2020-08-20,2020-09-25,DIVISLAB,Inclusion,Era2_2018-2025,0.002106,0.5176,0.018365,-0.0664,0.1412,0.025,-0.0101,-0.0546,-0.0994,2.139,0.907,1.308,0.1941,0.2305,0.4247,True,COVID,1,1,1,1,0.624
2020-08-20,2020-09-25,ZEEL,Exclusion,Era2_2018-2025,-0.002989,1.0009,0.044987,0.0501,0.3157,-0.0145,0.0856,0.1956,0.0149,1.049,0.959,4.354,-0.0291,0.4262,0.3971,True,COVID,1,1,1,0,5.741
2020-08-20,2020-09-25,SBILIFE,Inclusion,Era2_2018-2025,0.000516,0.8818,0.020313,-0.0396,-0.0254,-0.0009,-0.0399,-0.0257,-0.1226,0.888,0.888,2.99,-0.1637,0.525,0.3612,True,COVID,1,1,1,1,0.503
2021-02-23,2021-03-26,TATACONSUM,Inclusion,Era2_2018-2025,0.001024,0.9256,0.020279,0.0629,0.0523,-0.0089,0.01,0.0134,0.0567,0.826,0.735,1.919,-0.3044,0.6185,0.314,False,Calm,1,0,0,1,0.892
2021-02-23,2021-03-26,GAIL,Exclusion,Era2_2018-2025,0.000161,0.8009,0.025471,0.0088,0.1081,0.0088,-0.0069,-0.0677,-0.0682,1.178,0.86,2.984,-0.0449,0.4353,0.3904,False,Calm,1,0,0,0,1.025
2022-02-24,2022-03-25,APOLLOHOSP,Inclusion,Era2_2018-2025,0.001838,0.8001,0.024457,-0.0678,0.0085,0.0221,0.0382,-0.0541,-0.1083,1.022,1.022,4.461,-0.1057,0.5587,0.453,True,Rates,1,1,1,1,0.896
2022-02-24,2022-03-25,IOC,Exclusion,Era2_2018-2025,0.001019,0.8046,0.014359,-0.0118,-0.0232,-0.0236,0.0248,0.0223,0.0733,1.752,1.752,2.618,-0.2279,0.5911,0.3632,True,Rates,1,1,1,0,1.244
2024-02-28,2024-03-29,SHRIRAMFIN,Inclusion,Era2_2018-2025,0.001819,1.0032,0.018043,0.037,-0.0189,0.0344,-0.0559,-0.0563,-0.0385,1.68,1.272,2.478,0.4288,0.3468,0.7757,False,Calm,1,0,0,1,1.788
2024-02-28,2024-03-29,UPL,Exclusion,Era2_2018-2025,-0.002448,1.2379,0.012714,0.0336,0.0105,-0.0141,-0.0103,0.0151,0.1221,0.885,0.885,3.54,0.0515,0.5213,0.5728,False,Calm,1,0,0,0,0.392
2024-08-23,2024-09-30,DIVISLAB,Exclusion,Era2_2018-2025,0.000739,0.6137,0.013711,0.046,-0.0255,-0.0032,0.0255,0.0699,0.1673,1.475,1.475,2.26,-0.1892,0.3487,0.1595,False,Calm,1,0,0,0,0.703
2024-08-23,2024-09-30,BEL,Inclusion,Era2_2018-2025,0.002121,1.7891,0.019446,0.0204,-0.0414,-0.0114,-0.0487,-0.1942,-0.1449,0.783,0.75,3.618,0.1392,0.5487,0.6879,False,Calm,1,0,0,1,0.735
2024-08-23,2024-09-30,LTIM,Exclusion,Era2_2018-2025,0.000179,0.5893,0.014445,0.0654,0.011,0.0019,0.0669,0.0863,0.039,1.309,1.309,2.371,-0.0411,0.4639,0.4228,False,Calm,1,0,0,0,0.926
2024-08-23,2024-09-30,TRENT,Inclusion,Era2_2018-2025,0.004141,0.7997,0.020942,0.0565,0.1939,-0.0239,0.0109,-0.0264,-0.0524,0.971,0.971,3.587,0.1266,0.3763,0.5029,False,Calm,1,0,0,1,0.592
2025-02-21,2025-03-28,BPCL,Exclusion,Era2_2018-2025,-0.000446,1.4531,0.017543,0.0795,0.0329,-0.0056,-0.0042,0.0475,0.123,0.972,0.826,2.917,0.0063,0.5544,0.5607,False,Calm,1,0,0,0,0.97
2025-02-21,2025-03-28,BRITANNIA,Exclusion,Era2_2018-2025,-7.8e-05,0.2392,0.013282,0.0594,-0.017,-0.0019,-0.0385,0.0003,0.1105,1.17,1.121,1.712,0.2365,0.1765,0.413,False,Calm,1,0,0,0,0.796
2025-02-21,2025-03-28,JIOFIN,Inclusion,Era2_2018-2025,-0.000774,1.2851,0.019635,0.028,-0.0142,-0.0073,-0.0977,-0.0453,0.064,0.752,0.644,4.877,0.0534,0.6871,0.7406,False,Calm,1,0,0,1,0.692
2025-02-21,2025-03-28,ZOMATO,Inclusion,Era2_2018-2025,0.00203,0.8507,0.025127,0.0402,0.0295,-0.0392,0.0065,-0.1324,-0.1133,0.668,0.505,5.864,0.1103,0.4962,0.6065,False,Calm,1,0,0,1,0.539
2025-08-22,2025-09-26,INDIGO,Inclusion,Era2_2018-2025,0.001339,0.952,0.016407,-0.0131,0.0036,0.0045,-0.0664,-0.0947,-0.1168,1.084,0.756,2.056,0.1812,0.2924,0.4736,False,Calm,1,0,0,1,0.737
2025-08-22,2025-09-26,HEROMOTOCO,Exclusion,Era2_2018-2025,-0.000421,0.9999,0.01395,0.0465,0.1173,-0.0008,0.0508,0.0691,0.0918,0.999,0.999,1.723,-0.0468,0.4396,0.3928,False,Calm,1,0,0,0,1.628
2025-08-22,2025-09-26,MAXHEALTH,Inclusion,Era2_2018-2025,0.001688,0.9648,0.021229,-0.0219,-0.0522,-0.022,-0.026,-0.081,-0.1088,1.367,0.826,2.297,0.0217,0.4094,0.4311,False,Calm,1,0,0,1,0.797
2025-08-22,2025-09-26,INDUSINDBK,Exclusion,Era2_2018-2025,-0.001845,0.767,0.026809,-0.0026,-0.0421,0.0118,-0.0053,-0.0197,0.0318,1.068,1.068,2.684,-0.0198,0.4382,0.4184,False,Calm,1,0,0,0,0.555
